question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
Signification de l'acronyme G.fast,,G.fast Successeur de VDSL2 Vectoring (jusqu'à 1 Gbit/s),,1,05-03-25
Signification de l'acronyme GPRS,,GPRS General Packet Radio Service ⇒ GSM,,1,05-03-25
Signification de l'acronyme GSM,,GSM Global System for Mobile Communication,,1,05-03-25
Signification de l'acronyme HAK(BEP),,Hausanschlusskasten(BEP Building Entry Point pour fibre optique),,1,05-03-25
Signification de l'acronyme HUP,,HUP : Hausübergabepunkt (Point de transfert dans le bâtiment),,1,05-03-25
Signification de l'acronyme HDLS,,HDLS High Data Rate Digital Subscriber Line,,1,05-03-25
Signification de l'acronyme HTTP,,HTTP Hypertext Transfer Protocol,,1,05-03-25
Signification de l'acronyme HiFi,,HiFi High Fidelity,,1,05-03-25
Signification de l'acronyme ICT,,ICT Information and Communication Technologies,,1,05-03-25
Signification de l'acronyme IP,,IP Protocole Internet,,1,05-03-25
Signification de l'acronyme ISP(FAI),,"ISP Internet Service Provider/FAI Fournisseur d'accès à Internet (Swisscom, Sunrise, …)",,1,05-03-25
Signification de l'acronyme KNX,,KNX Successeur de l'EIB,,1,05-03-25
Signification de l'acronyme LAN,,LAN Local Area Network,,1,05-03-25
Signification de l'acronyme LIE,,LIE Loi sur les installations électriques (RS734.0),,1,05-03-25
Signification de l'acronyme LNB,,LNB Low Noise Block Converter,,1,05-03-25
Signification de l'acronyme LNC,,LNC Low Noise Converter,,1,05-03-25
Signification de l'acronyme LTC,,LTC Loi sur les télécommunications (RS784.10),,1,05-03-25
Signification de l'acronyme LTE,,LTE Long Term Evolution (standard 4G+ jusqu'à 1 Gbit/s),,1,05-03-25
Signification de l'acronyme LWL(FO),,LWL Lichtwellenleiter(FO Fibre optique),,1,05-03-25
Signification de l'acronyme NAG,,NAG Unité de terminaison du réseau,,1,05-03-25
Signification de l'acronyme NAS,,NAS Network Attached Storage,,1,05-03-25
Signification de l'acronyme NEXT,,NEXT Near End Crosstalk (paradiaphonie ou diaphonie locale),,1,05-03-25
Signification de l'acronyme NTP,,NTP Network Termination Point,,1,05-03-25
Signification de l'acronyme NTS,,NTS Point de coupure du réseau,,1,05-03-25
Signification de l'acronyme OFCOM,,OFCOM Office fédéral de la communication,,1,05-03-25
Signification de l'acronyme OM,,OM Optical Multimode,,1,05-03-25
Signification de l'acronyme ONT,,ONT Optical Network Termination ( FO ⇒ Cu ),,1,05-03-25
Signification de l'acronyme OS,,OS Optical Single Mode,,1,05-03-25
Signification de l'acronyme OSI,,OSI Open Systems Interconnection,,1,05-03-25
Signification de l'acronyme OTDR,,OTDR Optical Time Domain Reflectrometry,,1,05-03-25
Signification de l'acronyme OTO,,OTO Optical Telecommunications Outlet,,1,05-03-25
Signification de l'acronyme PBX,,PBX Private Branch Exchange (voir ACU),,1,05-03-25
Signification de l'acronyme PCM,,PCM Pulse Code Modulation,,1,05-03-25
Signification de l'acronyme PoE,,PoE Power over Ethernet,,1,05-03-25
Signification de l'acronyme POF,,POF Plastic Optical Fibre,,1,05-03-25
Signification de l'acronyme POP,,POP Point of Presence,,1,05-03-25
Signification de l'acronyme POTS,,POTS Plain Old Telephony System (le bon vieux service téléphonique),,1,05-03-25
Signification de l'acronyme PSK,,PSK Phase Shift Keying,,1,05-03-25
Signification de l'acronyme PSTN,,PSTN Public Switched Telephone Network (réseau téléphonique public commuté),,1,05-03-25
Signification de l'acronyme PU,,PU Prise d'usagers (câble coaxial),,1,05-03-25
Signification de l'acronyme QAM,,QAM Quadrature Amplitude Modulation,,1,05-03-25
Signification de l'acronyme QoS,,QoS Quality of Service,,1,05-03-25
Signification de l'acronyme RAM,,RAM Random-Access Memory,,1,05-03-25
Signification de l'acronyme RB,,RB Répartiteur de bâtiment,,1,05-03-25
Signification de l'acronyme RE,,RE Répartiteur d'étage,,1,05-03-25
Signification de l'acronyme RI,,RI Répartiteur intermédiaire,,1,05-03-25
Signification de l'acronyme RP,,RP Répartiteur principal,,1,05-03-25
Signification de l'acronyme RR,,RR Répartiteur réseau,,1,05-03-25
Signification de l'acronyme SIM,,SIM Subscriber Identity Module (carte SIM),,1,05-03-25
Signification de l'acronyme SIP,,SIP Session Initiation Protocol,,1,05-03-25
Signification de l'acronyme SIP-Trunk,,SIP-Trunk Plusieurs numéros d'appel sous un seul compte IP,,1,05-03-25
Signification de l'acronyme SMS,,SMS Service de messages courts GSM,,1,05-03-25
Signification de l'acronyme SOHO,,SOHO Small Office and Home,,1,05-03-25
Signification de l'acronyme STP,,STP Shielded Twisted Pair,,1,05-03-25
Signification de l'acronyme SÜS,,SÜS Point de transfert de signal,,1,05-03-25
Signification de l'acronyme TA,,TA Terminal Adapter,,1,05-03-25
Signification de l'acronyme TCP/IP,,TCP/IP Transmission Control Protocol over IP,,1,05-03-25
Signification de l'acronyme TDM,,TDM Time Division Multiplex,,1,05-03-25
Signification de l'acronyme TE,,TE Terminal Equipment,,1,05-03-25
Signification de l'acronyme TP,,TP Twisted Pair,,1,05-03-25
Signification de l'acronyme UDP,,UDP User Datagram Protocol,,1,05-03-25
Signification de l'acronyme UMTS,,UMTS Universal Mobile Telecommunication System,,1,05-03-25
Signification de l'acronyme URL,,"Uniform Resource Locator, informellement appelée adresse web",,1,05-03-25
Signification de l'acronyme USB,,USB Universal Serial Bus,,1,05-03-25
Signification de l'acronyme USV (ASI),,USV Onduleur; ASI (Alimentation Sans Interruption,,1,05-03-25
Signification de l'acronyme UTP,,UTP Unshielded Twisted Pair,,1,05-03-25
Signification de l'acronyme VDSL,,VDSL Very high data rate Digital Subscriber Line,,1,05-03-25
Signification de l'acronyme VoIP,,VoIP Voice over IP,,1,05-03-25
Signification de l'acronyme VPN,,VPN Virtual Private Network,,1,05-03-25
Signification de l'acronyme WiFi Calling,,WiFi Calling Réseau mobile par WLAN,,1,05-03-25
Signification de l'acronyme WiFi,,WiFi Wireless Fidelity,,1,05-03-25
Signification de l'acronyme WLAN,,WLAN Wireless Local Area Network,,1,05-03-25
